word	espeak_ipa	our_ipa	status
bough	bˈa‍ʊ	bˈaʊ	MISMATCH
dough	dˈo‍ʊ	dˈoʊ	MISMATCH
bought	bˈɔːt	bˈɑːt	MISMATCH
women	wˈɪmɪn	wˈɪmən	MISMATCH
colonel	kˈɜːnə‍l	kˈɜːnəl	MISMATCH
bureau	bjˈʊ‍ɹɹo‍ʊ	bjˈʊɹoʊ	MISMATCH
recipe	ɹˈɛsᵻpˌiː	ɹˈɛsəpi	MISMATCH
cafe	kˈæfe‍ɪ	kəfˈeɪ	MISMATCH
naive	na‍ɪˈiːv	naɪˈiːv	MISMATCH
resume	ɹᵻzˈuːm	ɹɪzˈuːm	MISMATCH
choir	kwˈa‍ɪ‍ɚ	kwˈaɪɜː	MISMATCH
chaos	kˈe‍ɪɑːs	kˈeɪɑːs	MISMATCH
character	kˈæɹɪktɚ	kˈɛɹɪktɜː	MISMATCH
psychology	sa‍ɪkˈɑːləd‍ʒi	saɪkˈɑːlədʒi	MISMATCH
pneumonia	nuːmˈo‍ʊni‍ə	nuːmˈoʊnjə	MISMATCH
four	fˈɔː‍ɹ	fˈɔːɹ	MISMATCH
five	fˈa‍ɪv	fˈaɪv	MISMATCH
eight	ˈe‍ɪt	ˈeɪt	MISMATCH
nine	nˈa‍ɪn	nˈaɪn	MISMATCH
hundred	hˈʌndɹɪd	hˈʌndɹəd	MISMATCH
thousand	θˈa‍ʊzənd	θˈaʊzənd	MISMATCH
million	mˈɪli‍ən	mˈɪljən	MISMATCH
algorithm	ˈælɡɚɹˌɪθəm	ˈælɡɜːɪðəm	MISMATCH
parameter	pɚɹˈæmɪɾɚ	pɜːˈæmətɜː	MISMATCH
architecture	ˈɑː‍ɹkɪtˌɛkt‍ʃɚ	ˈɑːɹkətɛktʃɜː	MISMATCH
transformer	tɹænsfˈɔː‍ɹmɚ	tɹænsfˈɔːɹmɜː	MISMATCH
attention	ɐtˈɛnʃən	ətˈɛnʃən	MISMATCH
encoder	ɛŋkˈo‍ʊdɚ		MISSING
decoder	dᵻkˈo‍ʊdɚ	dɪkˈoʊdɜː	MISMATCH
tokenizer	tˈo‍ʊkənˌa‍ɪzɚ		MISSING
inference	ˈɪnfɚɹəns	ˈɪnfɜːəns	MISMATCH
quantization	kwˌɔntᵻzˈe‍ɪʃən		MISSING
optimization	ˌɑːptɪmᵻzˈe‍ɪʃən	ɑːptəməzˈeɪʃən	MISMATCH
amplitude	ˈæmplɪtˌuːd	ˈæmplətuːd	MISMATCH
waveform	wˈe‍ɪvfɔː‍ɹm	wˈeɪvfɔːɹm	MISMATCH
understand	ˌʌndɚstˈænd	ʌndɜːstˈænd	MISMATCH
information	ˌɪnfɚmˈe‍ɪʃən	ɪnfɜːmˈeɪʃən	MISMATCH
communication	kəmjˌuːnɪkˈe‍ɪʃən	kəmjuːnəkˈeɪʃən	MISMATCH
international	ˌɪntɚnˈæʃənə‍l	ɪntɜːnˈæʃənəl	MISMATCH
responsibility	ɹᵻspˌɑːnsəbˈɪlᵻɾi	ɹispɑːnsəbˈɪləti	MISMATCH
environmental	ɛnvˌa‍ɪɹənmˈɛntə‍l	ɪnvaɪɹənmˈɛntəl	MISMATCH
representative	ɹˌɛpɹᵻzˈɛntətˌɪv	ɹɛpɹəzˈɛntətɪv	MISMATCH
approximately	ɐpɹˈɑːksɪmətli	əpɹˈɑːksəmətli	MISMATCH
unfortunately	ʌnfˈɔː‍ɹt‍ʃənətli	ənfˈɔːɹtʃənətli	MISMATCH
extraordinary	ɛkstɹˈɔː‍ɹdɪnˌɛɹi	ɛkstɹəˈɔːɹdənɛɹi	MISMATCH
congratulations	kəŋɡɹˈæt‍ʃʊlˈe‍ɪʃənz	kənɡɹætʃəlˈeɪʃənz	MISMATCH
