word	espeak_ipa
head	hˈɛd
heart	hˈɑː‍ɹt
hello	həlˈo‍ʊ
help	hˈɛlp
her	hˈɜː
high	hˈa‍ɪ
him	hˈɪm
his	hˈɪz
house	hˈa‍ʊs
how	hˈa‍ʊ
hundred	hˈʌndɹɪd
i	ˈa‍ɪ
if	ˈɪf
immediately	ɪmˈiːdɪʲətli
in	ˈɪn
inference	ˈɪnfɚɹəns
information	ˌɪnfɚmˈe‍ɪʃən
intelligence	ɪntˈɛlɪd‍ʒəns
interesting	ˈɪntɹɛstɪŋ
international	ˌɪntɚnˈæʃənə‍l
into	ˈɪntʊ
it	ˈɪt
its	ˈɪts
january	d‍ʒˈænjuːˌɛɹi
july	d‍ʒuːlˈa‍ɪ
june	d‍ʒˈuːn
just	d‍ʒˈʌst
keep	kˈiːp
kind	kˈa‍ɪnd
kindness	kˈa‍ɪndnəs
knife	nˈa‍ɪf
knight	nˈa‍ɪt
know	nˈo‍ʊ
language	lˈæŋɡwɪd‍ʒ
large	lˈɑː‍ɹd‍ʒ
last	lˈæst
left	lˈɛft
letter	lˈɛɾɚ
life	lˈa‍ɪf
like	lˈa‍ɪk
line	lˈa‍ɪn
live	lˈa‍ɪv
long	lˈɔŋ
look	lˈʊk
made	mˈe‍ɪd
major	mˈe‍ɪd‍ʒɚ
make	mˈe‍ɪk
man	mˈæn
management	mˈænɪd‍ʒmənt
march	mˈɑː‍ɹt‍ʃ
may	mˈe‍ɪ
me	mˈiː
might	mˈa‍ɪt
million	mˈɪli‍ən
model	mˈɑːdə‍l
monday	mˈʌnde‍ɪ
money	mˈʌni
most	mˈo‍ʊst
mother	mˈʌðɚ
mouth	mˈa‍ʊθ
move	mˈuːv
much	mˈʌt‍ʃ
muscle	mˈʌsə‍l
my	mˈa‍ɪ
naive	na‍ɪˈiːv
name	nˈe‍ɪm
nation	nˈe‍ɪʃən
need	nˈiːd
network	nˈɛtwɜːk
neural	nˈʊ‍ɹɹə‍l
never	nˈɛvɚ
new	nˈuː
next	nˈɛkst
night	nˈa‍ɪt
nine	nˈa‍ɪn
no	nˈo‍ʊ
not	nˈɑːt
november	no‍ʊvˈɛmbɚ
now	nˈa‍ʊ
number	nˈʌmbɚ
october	ɑːktˈo‍ʊbɚ
of	ˈʌv
often	ˈɔfən
old	ˈo‍ʊld
on	ˈɔn
one	wˈʌn
only	ˈo‍ʊnli
opportunity	ɑːpɚtˈuːnᵻɾi
optimization	ˌɑːptɪmᵻzˈe‍ɪʃən
or	ˈɔː‍ɹ
orange	ˈɔɹɪnd‍ʒ
organization	ˌɔː‍ɹɡɐnᵻzˈe‍ɪʃən
other	ˈʌðɚ
our	ˈa‍ʊɚ
out	ˈa‍ʊt
over	ˈo‍ʊvɚ
own	ˈo‍ʊn
parameter	pɚɹˈæmɪɾɚ
part	pˈɑː‍ɹt
particular	pɚtˈɪkjʊlɚ
people	pˈiːpə‍l
phone	fˈo‍ʊn
phoneme	fˈo‍ʊniːm
place	plˈe‍ɪs
pneumonia	nuːmˈo‍ʊni‍ə
point	pˈɔ‍ɪnt
popular	pˈɑːpjʊlɚ
position	pəzˈɪʃən
powerful	pˈa‍ʊɚfə‍l
problem	pɹˈɑːbləm
pronounce	pɹənˈa‍ʊns
pronunciation	pɹənˌʌnsɪʲˈe‍ɪʃən
psychology	sa‍ɪkˈɑːləd‍ʒi
purple	pˈɜːpə‍l
question	kwˈɛst‍ʃən
queue	kjˈuː
read	ɹˈiːd
reasonable	ɹˈiːzənəbə‍l
recipe	ɹˈɛsᵻpˌiː
red	ɹˈɛd
regular	ɹˈɛɡjʊlɚ
representative	ɹˌɛpɹᵻzˈɛntətˌɪv
responsibility	ɹᵻspˌɑːnsəbˈɪlᵻɾi
restaurant	ɹˈɛstɹɑːnt
resume	ɹᵻzˈuːm
right	ɹˈa‍ɪt
room	ɹˈuːm
rough	ɹˈʌf
run	ɹˈʌn
said	sˈɛd
same	sˈe‍ɪm
saturday	sˈæɾɚdˌe‍ɪ
say	sˈe‍ɪ
school	skˈuːl
second	sˈɛkənd
see	sˈiː
september	sɛptˈɛmbɚ
set	sˈɛt
seven	sˈɛvən
she	ʃˈiː
show	ʃˈo‍ʊ
side	sˈa‍ɪd
similar	sˈɪmɪlɚ
six	sˈɪks
small	smˈɔːl
so	sˈo‍ʊ
some	sˈʌm
something	sˈʌmθɪŋ
sound	sˈa‍ʊnd
speech	spˈiːt‍ʃ
state	stˈe‍ɪt
station	stˈe‍ɪʃən
still	stˈɪl
stomach	stˈʌmək
story	stˈɔːɹi
such	sˈʌt‍ʃ
sugar	ʃˈʊɡɚ
sunday	sˈʌnde‍ɪ
system	sˈɪstəm
take	tˈe‍ɪk
teacher	tˈiːt‍ʃɚ
technique	tɛknˈiːk
television	tˈɛlᵻvˌɪʒən
tell	tˈɛl
temperature	tˈɛmpɹɪt‍ʃɚ
ten	tˈɛn
text	tˈɛkst
than	ðˈɐn
that	ðˈæt
the	ðˈə
their	ðˈɛ‍ɹ
them	ðˈɛm
then	ðˈɛn
there	ðˈɛ‍ɹ
these	ðˈiːz
they	ðˈe‍ɪ
thing	θˈɪŋ
think	θˈɪŋk
thirteen	θˈɜːtiːn
thirty	θˈɜːɾi
this	ðˈɪs
thorough	θˈʌɹo‍ʊ
though	ðˈo‍ʊ
thought	θˈɔːt
thousand	θˈa‍ʊzənd
three	θɹˈiː
through	θɹˈuː
thursday	θˈɜːzde‍ɪ
time	tˈa‍ɪm
to	tˈuː
together	təɡˈɛðɚ
tokenizer	tˈo‍ʊkənˌa‍ɪzɚ
tough	tˈʌf
transformer	tɹænsfˈɔː‍ɹmɚ
tuesday	tˈuːzde‍ɪ
turn	tˈɜːn
twelve	twˈɛlv
twenty	twˈɛnti
two	tˈuː
under	ˈʌndɚ
understand	ˌʌndɚstˈænd
unfortunately	ʌnfˈɔː‍ɹt‍ʃənətli
unique	juːnˈiːk
up	ˈʌp
us	ˈʌs
use	jˈuːs
used	jˈuːzd
useful	jˈuːsfə‍l
vegetable	vˈɛd‍ʒɪɾəbə‍l
version	vˈɜːʒən
very	vˈɛɹi
voice	vˈɔ‍ɪs
walk	wˈɔːk
want	wˈɔnt
water	wˈɔːɾɚ
waveform	wˈe‍ɪvfɔː‍ɹm
way	wˈe‍ɪ
we	wˈiː
wednesday	wˈɛnzde‍ɪ
week	wˈiːk
well	wˈɛl
what	wˈʌt
when	wˈɛn
where	wˈɛ‍ɹ
which	wˈɪt‍ʃ
while	wˈa‍ɪl
white	wˈa‍ɪt
who	hˈuː
will	wˈɪl
with	wˈɪð
woman	wˈʊmən
women	wˈɪmɪn
wonderful	wˈʌndɚfə‍l
work	wˈɜːk
world	wˈɜːld
would	wˈʊd
wrap	ɹˈæp
write	ɹˈa‍ɪt
wrong	ɹˈɔŋ
year	jˈɪ‍ɹ
yellow	jˈɛlo‍ʊ
you	jˈuː
young	jˈʌŋ
your	jˈʊ‍ɹ
zero	zˈi‍əɹo‍ʊ
